x,y,cp,dun
0.046846106,0.048764288,0.174807158,-190062.3876
0.043227271,0.04709234,0.212637638,-177659.8189
0.039747573,0.045377219,0.253278755,-164181.612
0.036408073,0.043620077,0.296355688,-149691.3602
0.033209787,0.041820895,0.342190046,-134086.5781
0.03015369,0.039979792,0.390929928,-117305.3196
0.027240712,0.038097767,0.441799468,-99611.92292
0.024471742,0.036175071,0.495405315,-81249.82269
0.021847622,0.034212356,0.551336382,-62582.41161
0.019369152,0.032211099,0.608394677,-44280.10464
0.017037087,0.030171844,0.666379004,-25840.20227
0.014852137,0.02809541,0.724349279,-7528.891442
0.012814968,0.025983423,0.781231587,9661.721506
0.0109262,0.023837174,0.836142467,24240.26377
0.009186408,0.021658015,0.887693355,34337.63673
0.007596123,0.019448136,0.935038131,39532.01541
0.00615583,0.017211736,0.975742544,39558.33681
0.004865966,0.014953616,1.008064241,34575.35165
0.003726924,0.012679893,1.031642002,97817.9483
0.002739052,0.010403429,1.043063043,37792.91582
0.001902651,0.008143093,1.041531962,-42225.97305
0.001217975,0.005928125,1.030896216,-126808.9869
0.000685233,0.003820541,1.012179436,-182919.7774
0.000304586,0.001945131,0.984991784,-83897.6189
7.62E-05,0.000544695,0.958686513,-98629.13064
0,1.49E-08,0.947220271,-105621.7998
0.985147863,0.007327998,0.29067141,-124730.1617
0.982962913,0.007945504,0.284289504,-126697.1198
0.980630848,0.00860303,0.277708858,-128769.5967
0.978152378,0.00930005,0.270837565,-130734.2502
0.975528258,0.010036029,0.263817285,-132717.6789
0.972759288,0.010810362,0.256563083,-134808.4726
0.96984631,0.01162244,0.249171491,-136848.5
0.966790213,0.012471618,0.241578884,-138898.5763
0.963591927,0.013357227,0.233915467,-140987.0281
0.960252427,0.014278731,0.226123305,-142790.4274
0.956772729,0.015235634,0.218146371,-144852.6942
0.953153894,0.016227483,0.210109898,-146887.4266
0.949397023,0.017253549,0.201941175,-148692.9601
0.945503262,0.018312877,0.193645234,-150653.2939
0.941473796,0.019404505,0.18534715,-152920.1095
0.937309854,0.020527638,0.17710024,-154903.2568
0.933012702,0.021681703,0.168714582,-156546.4058
0.92858365,0.022866047,0.160345326,-158282.5383
0.924024048,0.024079917,0.151901957,-159856.8392
0.919335284,0.025322402,0.143415563,-161779.947
0.914518786,0.026592582,0.134952039,-163821.4226
0.909576022,0.027889635,0.126538914,-165546.6859
0.904508497,0.029212817,0.118067221,-167218.6849
0.899317755,0.030561378,0.109641599,-168907.5447
0.894005377,0.031934517,0.101189999,-170542.4388
0.888572981,0.033331382,0.092754875,-172432.2441
0.883022222,0.034751111,0.084367638,-173958.7316
0.87735479,0.036192833,0.075943969,-175524.0988
0.871572413,0.037655668,0.067538412,-177149.4935
0.865676851,0.039138729,0.059160885,-178638.9572
0.8596699,0.04064114,0.050786121,-180158.7534
0.853553391,0.042162001,0.042446695,-182002.8082
0.847329185,0.043700446,0.03414357,-183817.4136
0.84099918,0.045255569,0.025851489,-185037.7077
0.834565303,0.046826453,0.017499922,-186409.9408
0.828029514,0.048412171,0.009212231,-187902.2872
0.821393805,0.05001185,0.000858332,-189514.8635
0.814660196,0.051624583,-0.007456333,-191108.9358
0.807830738,0.053249504,-0.015770476,-192489.0252
0.800907512,0.054885678,-0.024096599,-194098.0133
0.793892626,0.056532113,-0.032419348,-195817.6911
0.786788218,0.058187843,-0.040706993,-197362.8217
0.779596452,0.059851901,-0.049011253,-198618.8405
0.772319518,0.061523372,-0.05744238,-200060.6779
0.764959632,0.063201345,-0.065864332,-201848.5934
0.757519037,0.064884797,-0.074277923,-203404.6178
0.75,0.066572643,-0.082775404,-204849.8152
0.74240481,0.068263803,-0.091243994,-206479.2657
0.734735781,0.06995726,-0.099682556,-207899.0054
0.72699525,0.071652097,-0.108261969,-209388.7923
0.719185573,0.073347375,-0.116921437,-211196.4951
0.711309131,0.075042082,-0.12560578,-212758.5652
0.703368322,0.076735137,-0.134358781,-214146.0584
0.695365564,0.078425464,-0.143204452,-215870.5852
0.687303297,0.080111821,-0.152138901,-217784.7636
0.679183975,0.081792827,-0.161098145,-219422.7534
