TITLE     = "Fluent Common Fluid Files Data"
VARIABLES = "X"
"Y"
"Static Pressure"
"Static Temperature"
DATASETAUXDATA Common.DensityVar="5"
DATASETAUXDATA Common.PressureVar="11"
DATASETAUXDATA Common.TemperatureVar="13"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="9"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="7"
DATASETAUXDATA Common.UVar="14"
DATASETAUXDATA Common.VectorVarsAreVelocity="True"
DATASETAUXDATA Common.ViscosityVar="8"
DATASETAUXDATA Common.VVar="15"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=4630
 I=512, J=512, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 1.301369816E-01 -1.000000000E+00 1.015632812E+05 3.002031860E+02
 1.340508759E-01 -1.000000000E+00 1.015618281E+05 3.002020264E+02
 1.379647702E-01 -1.000000000E+00 1.015604141E+05 3.002008667E+02
 1.418786645E-01 -1.000000000E+00 1.015589844E+05 3.001997070E+02
 1.457925588E-01 -1.000000000E+00 1.015575859E+05 3.001985779E+02
 1.497064531E-01 -1.000000000E+00 1.015561719E+05 3.001974182E+02
 1.536203474E-01 -1.000000000E+00 1.015547969E+05 3.001962891E+02
 1.575342417E-01 -1.000000000E+00 1.015534062E+05 3.001951599E+02
 1.614481360E-01 -1.000000000E+00 1.015520547E+05 3.001940613E+02
 1.653620303E-01 -1.000000000E+00 1.015507109E+05 3.001929626E+02
 1.692759246E-01 -1.000000000E+00 1.015493672E+05 3.001918640E+02
 1.731898189E-01 -1.000000000E+00 1.015480781E+05 3.001907959E+02
 1.771037132E-01 -1.000000000E+00 1.015467266E+05 3.001896973E+02
 1.810176075E-01 -1.000000000E+00 1.015454609E+05 3.001886597E+02
 1.849315017E-01 -1.000000000E+00 1.015441406E+05 3.001875916E+02
 1.888453960E-01 -1.000000000E+00 1.015428906E+05 3.001865845E+02
 1.927592903E-01 -1.000000000E+00 1.015415938E+05 3.001855164E+02
 1.966731846E-01 -1.000000000E+00 1.015403828E+05 3.001845398E+02
 2.005870789E-01 -1.000000000E+00 1.015391250E+05 3.001835022E+02
 2.045009732E-01 -1.000000000E+00 1.015379219E+05 3.001825256E+02
 2.084148675E-01 -1.000000000E+00 1.015367188E+05 3.001815491E+02
 2.123287618E-01 -1.000000000E+00 1.015355156E+05 3.001805420E+02
 2.162426561E-01 -1.000000000E+00 1.015343594E+05 3.001796265E+02
 2.201565504E-01 -1.000000000E+00 1.015331641E+05 3.001786499E+02
 2.240704447E-01 -1.000000000E+00 1.015320547E+05 3.001777344E+02
 2.279843390E-01 -1.000000000E+00 1.015308594E+05 3.001767578E+02
 2.318982333E-01 -1.000000000E+00 1.015297734E+05 3.001758728E+02
 2.358121276E-01 -1.000000000E+00 1.015286094E+05 3.001749573E+02
 2.397260219E-01 -1.000000000E+00 1.015275547E+05 3.001740723E+02
 2.436399162E-01 -1.000000000E+00 1.015264297E+05 3.001731567E+02
 2.475538105E-01 -1.000000000E+00 1.015254062E+05 3.001723328E+02
 2.514677048E-01 -1.000000000E+00 1.015243281E+05 3.001714478E+02
 2.553816140E-01 -1.000000000E+00 1.015233125E+05 3.001706238E+02
 2.592954934E-01 -1.000000000E+00 1.015222812E+05 3.001697998E+02
 2.632094026E-01 -1.000000000E+00 1.015212734E+05 3.001689758E+02
 2.671232820E-01 -1.000000000E+00 1.015202891E+05 3.001681824E+02
 2.710371912E-01 -1.000000000E+00 1.015193047E+05 3.001674194E+02
 2.749510705E-01 -1.000000000E+00 1.015183516E+05 3.001666565E+02
 2.788649797E-01 -1.000000000E+00 1.015173906E+05 3.001658936E+02
 2.827788591E-01 -1.000000000E+00 1.015164766E+05 3.001651611E+02
 2.866927683E-01 -1.000000000E+00 1.015155312E+05 3.001643982E+02
 2.906066477E-01 -1.000000000E+00 1.015146641E+05 3.001636658E+02
 2.945205569E-01 -1.000000000E+00 1.015137422E+05 3.001629333E+02
